n,algo,edge_checks,queue_push,pq_push,pq_pop,relax,path_len
2,BFS,1,2,0,0,0,2
2,Dijkstra,1,0,2,2,1,2
10,BFS,4.947,5.947,0,0,0,2
10,Dijkstra,44.685,0,14.905,6.255,13.905,2.595
30,BFS,27.197,16.291,0,0,0,2.706
30,Dijkstra,153.617,0,43.287,18.149,42.287,3.293
50,BFS,46.079,25.567,0,0,0,2.917
50,Dijkstra,240.215,0,67.846,30.348,66.846,3.46
100,BFS,104.068,52.718,0,0,0,3.305
100,Dijkstra,504.92,0,137.766,61.271,136.766,4.072
200,BFS,208.258,100.542,0,0,0,3.576
200,Dijkstra,1075.035,0,283.187,124.388,282.187,4.445
500,BFS,535.789,250.948,0,0,0,3.925
500,Dijkstra,2618.929,0,699.897,297.608,698.897,4.976
1000,BFS,1004.956,486.377,0,0,0,4.225
1000,Dijkstra,5267.203,0,1417.277,589.906,1416.277,5.501
2000,BFS,2189.87,1007.474,0,0,0,4.567
2000,Dijkstra,10557.28,0,2831.538,1195.066,2830.538,5.949
3000,BFS,3324.268,1521.725,0,0,0,4.736
3000,Dijkstra,15712.462,0,4183.949,1764.227,4182.949,6.219
4000,BFS,4395.97,2024.737,0,0,0,4.858
4000,Dijkstra,21599.499,0,5692.608,2451.807,5691.608,6.448
5000,BFS,5261.078,2441.517,0,0,0,4.924
5000,Dijkstra,26536.422,0,7072.008,2981.103,7071.008,6.545
6000,BFS,6450.329,2990.95,0,0,0,5.028
6000,Dijkstra,31743.486,0,8546.099,3551.798,8545.099,6.654
7000,BFS,7694.681,3541.503,0,0,0,5.096
7000,Dijkstra,36432.243,0,9853.399,4095.661,9852.399,6.684
8000,BFS,8771.281,3953.854,0,0,0,5.126
8000,Dijkstra,41806.758,0,11115.021,4738.493,11114.021,6.741
